Wavelength (nm),Scan_ID 1,Scan_ID 2,Scan_ID 3,Scan_ID 4,Scan_ID 5,Scan_ID 6,Scan_ID 7
311.3714083160095,2608.0,1725.0,1284.0,1.0,950.0,534.0,453.0
314.08175838575823,2899.0,1827.0,1414.0,1.0,1064.0,608.0,538.0
316.7889009055516,3070.0,1997.0,1565.0,1.0,1170.0,695.0,606.0
319.4928136168536,3129.0,2062.0,1602.0,1.0,1255.0,811.0,651.0
322.193474106527,3250.0,2152.0,1713.0,1.0,1335.0,864.0,757.0
324.89085980707335,3424.0,2288.0,1770.0,1.0,1450.0,918.0,834.0
327.584947996873,3576.0,2350.0,1821.0,1.0,1451.0,932.0,907.0
330.2757158004244,3748.0,2497.0,1895.0,1.0,1506.0,1066.0,999.0
332.96314018858544,3932.0,2576.0,1983.0,1.0,1576.0,1180.0,964.0
335.64719797881236,4126.0,2579.0,2034.0,1.0,1578.0,1073.0,898.0
338.3278658354001,4261.0,2682.0,2001.0,1.0,1597.0,879.0,767.0
341.00512026972245,4513.0,2780.0,2057.0,1.0,1532.0,692.0,569.0
343.6789376404716,4971.0,2928.0,2197.0,1.0,1516.0,594.0,434.0
346.3492941538988,5538.0,3162.0,2308.0,1.0,1581.0,529.0,360.0
349.0161658640538,6106.0,3504.0,2426.0,1.0,1669.0,552.0,356.0
351.67952867302506,6936.0,3955.0,2734.0,1.0,1802.0,566.0,262.0
354.3393583311798,8115.0,4591.0,3128.0,1.0,2054.0,524.0,249.0
356.99563043740403,9678.0,5406.0,3685.0,1.0,2489.0,640.0,306.0
359.64832043934217,11593.0,6468.0,4495.0,1.0,2921.0,804.0,274.0
362.29740363363766,13259.0,7442.0,5133.0,1.0,3309.0,903.0,365.0
364.94285516617225,14479.0,8035.0,5535.0,1.0,3615.0,1021.0,404.0
367.58465003230697,15469.0,8583.0,5908.0,26.0,3964.0,1105.0,323.0
370.22276307712116,17003.0,9380.0,6535.0,380.0,4310.0,1203.0,318.0
372.8571689956528,20231.0,11122.0,7702.0,1026.0,5001.0,1422.0,376.0
375.4878423331387,25520.0,14057.0,9605.0,2085.0,6268.0,1798.0,527.0
378.1147574852545,32310.0,17812.0,12129.0,3508.0,7902.0,2316.0,718.0
380.7378886983542,40658.0,22577.0,15355.0,5380.0,10128.0,2968.0,920.0
383.3572100697109,51638.0,28828.0,19579.0,7587.0,12893.0,3726.0,1182.0
385.9726955477562,60987.0,36769.0,25038.0,10557.0,16563.0,4803.0,1517.0
388.5843189323203,63957.0,46820.0,31978.0,14572.0,21277.0,6316.0,1995.0
391.19205387487244,64048.0,57636.0,39604.0,18626.0,26266.0,7890.0,2632.0
393.7958738787601,64027.0,63341.0,46553.0,22401.0,30972.0,9228.0,3188.0
396.3957522994497,63948.0,63912.0,52386.0,25631.0,35105.0,10441.0,3558.0
398.99166234476667,64072.0,63999.0,56518.0,27653.0,37791.0,11367.0,3897.0
401.5835770751346,63892.0,63865.0,59717.0,29545.0,39903.0,12016.0,4159.0
404.17146940381593,63876.0,63829.0,62700.0,31363.0,42312.0,12674.0,4308.0
406.755312097152,64002.0,64007.0,63949.0,32319.0,43734.0,13132.0,4436.0
409.3350777748028,63889.0,63949.0,63913.0,32810.0,44291.0,13312.0,4591.0
411.91073890998695,64041.0,64013.0,64066.0,32892.0,44440.0,13364.0,4675.0
414.4822678297216,64020.0,63997.0,64006.0,33494.0,44763.0,13576.0,4642.0
417.049636715063,63808.0,63841.0,63884.0,34914.0,46575.0,14113.0,4689.0
419.6128176013458,63803.0,63847.0,64020.0,36990.0,49502.0,14894.0,4944.0
422.1717823784235,63787.0,63815.0,63864.0,39425.0,52369.0,15761.0,5298.0
424.7265027909081,63999.0,63905.0,63916.0,40933.0,54209.0,16380.0,5577.0
427.27695043841055,64027.0,63965.0,64060.0,40623.0,53838.0,16334.0,5548.0
429.82309677578036,63800.0,63873.0,63852.0,39108.0,51920.0,15750.0,5273.0
432.3649131133457,63816.0,63897.0,63836.0,37278.0,49890.0,15116.0,5005.0
434.9023706171538,63715.0,63831.0,63872.0,36211.0,48607.0,14672.0,4817.0
437.43544030921004,63765.0,63898.0,63883.0,36564.0,48944.0,14746.0,4861.0
439.96409306771875,63957.0,64010.0,64015.0,37538.0,50502.0,15364.0,5009.0
442.48829962732304,63845.0,63847.0,63905.0,39156.0,52505.0,15984.0,5148.0
445.0080305793449,63875.0,63867.0,63892.0,40643.0,54331.0,16499.0,5330.0
447.5232563720243,63960.0,63951.0,63982.0,41373.0,55460.0,16852.0,5406.0
450.033947310761,63948.0,63859.0,63905.0,41813.0,55967.0,17041.0,5468.0
452.5400735583523,63944.0,63873.0,64001.0,41741.0,55747.0,16961.0,5506.0
455.04160513523505,63856.0,63848.0,63988.0,41555.0,55395.0,16876.0,5424.0
457.5385119197244,63800.0,63817.0,63884.0,41732.0,55617.0,16971.0,5377.0
460.0307636482544,63880.0,63948.0,63912.0,41355.0,55420.0,16970.0,5446.0
462.51832991561764,63894.0,63960.0,63863.0,40415.0,54370.0,16598.0,5455.0
465.0011801752056,63938.0,63971.0,63919.0,39170.0,52538.0,16034.0,5326.0
467.4792837392483,63898.0,63970.0,63992.0,36872.0,49414.0,15247.0,4941.0
469.9526097790544,63696.0,63760.0,63764.0,34454.0,46196.0,14231.0,4576.0
472.42112732525146,63836.0,63780.0,62834.0,32554.0,43960.0,13490.0,4373.0
474.8848052680257,63865.0,63806.0,61375.0,31277.0,42641.0,13003.0,4176.0
477.34361235736174,63783.0,63820.0,61169.0,31372.0,42630.0,13043.0,4102.0
479.7975172032836,63916.0,64010.0,62873.0,32839.0,44635.0,13766.0,4202.0
482.24648827609315,63717.0,63858.0,63836.0,35579.0,48104.0,14900.0,4534.0
484.6904939066116,63726.0,63864.0,63837.0,37631.0,50725.0,15600.0,4903.0
487.12950228641853,63993.0,64046.0,64050.0,38106.0,51256.0,15712.0,5108.0
