Wavelength (nm),Reference 1
306.1141919731955,2309.0
308.8177582197634,5010.0
311.518896240903,7771.0
314.21756759771216,8733.0
316.9137339131828,6993.0
319.6073568741956,4152.0
322.29839823351506,2505.0
324.98681981178487,1690.0
327.6725834995223,1275.0
330.35565125911376,1267.0
333.0359851268093,1323.0
335.7135472147183,1264.0
338.38829971280387,1168.0
341.0602048908782,1082.0
343.7292251005973,1107.0
346.39532277745656,1146.0
349.058460442785,1135.0
351.71860070574104,1197.0
354.3757062653068,1283.0
357.0297399122836,2080.0
359.680664531287,5535.0
362.32844310274163,10244.0
364.97303870487593,13305.0
367.61441451571795,12645.0
370.25253381508946,8265.0
372.8873599866016,4412.0
375.51885651964983,2729.0
378.1469870114085,2156.0
380.77171516882623,2057.0
383.3930048106211,2029.0
386.0108198692751,2145.0
388.6251243930298,2248.0
391.23588254788075,2284.0
393.84305861957307,2497.0
396.44661701559585,3474.0
399.04652226717764,6778.0
401.6427390312815,10937.0
404.23523209259963,13524.0
406.8239663655485,13255.0
409.4089068962641,9066.0
411.99001886459706,4821.0
414.5672675861069,3070.0
417.1406185140577,2316.0
419.7100372414133,2037.0
422.27548950283176,2031.0
424.8369411766605,2202.0
427.39435828693155,4520.0
429.94770700535645,12069.0
432.4969536533212,20804.0
435.0420647038812,25849.0
437.5830067837567,25579.0
440.11974667532735,17121.0
442.6522513186272,7713.0
445.1804878133401,3740.0
447.70442342079434,2295.0
450.2240255659581,1711.0
452.7392618394338,1447.0
455.2500999994538,1398.0
457.75650797387505,1328.0
460.25845386217406,1274.0
462.7559059374421,1288.0
465.24883264838036,1278.0
467.7372026212943,1348.0
470.22098466208945,1331.0
472.700147758266,1319.0
475.174661080914,1358.0
477.644493986708,1228.0
480.10961601990283,1187.0
482.5699969143275,1272.0
485.0256065953813,1284.0
487.47641518202823,1328.0
489.9223929887922,1338.0
492.36351052775177,1248.0
494.79973851053575,1235.0
497.23104785031757,1161.0
499.65740966381065,1120.0
502.07879527326327,1157.0
504.4951762084539,1122.0
506.9065242086857,1199.0
509.3128112247818,1233.0
511.71400942108056,1201.0
514.1100911774301,1275.0
516.5010290911839,1295.0
518.8867959791949,1265.0
521.2673648798118,1263.0
523.6427090548727,1243.0
526.0128019917012,1321.0
528.3776174051008,1315.0
530.7371292393502,1381.0
