Wavelength (nm),Reference 1,Scan_ID 1
308.9816663664639,19833.0,817.0
311.69052056568233,20389.0,701.0
314.39670104133216,19902.0,1065.0
317.10017258254203,18373.0,1440.0
319.80090002581204,17399.0,2377.0
322.498848256934,17051.0,3403.0
325.19398221291056,17403.0,4640.0
327.8862668838754,17261.0,6213.0
330.5756673150127,17629.0,8054.0
333.2621486084774,18620.0,9618.0
335.9456759253141,19270.0,11354.0
338.62621448737787,20252.0,12785.0
341.30372957925334,21459.0,14354.0
343.9781865501744,23005.0,15861.0
346.6495508159446,24200.0,16891.0
349.31778786085636,24405.0,17642.0
351.9828632396108,24732.0,18258.0
354.6447425792376,25613.0,19193.0
357.3033915810149,27277.0,20500.0
359.9587760223891,28193.0,21589.0
362.61086175889403,26893.0,20698.0
365.2596147260716,24808.0,19168.0
367.90500094139077,21898.0,17159.0
370.54698650616797,20504.0,16246.0
373.1855376074863,21476.0,17133.0
375.82062052011594,23419.0,18569.0
378.452201608433,24924.0,19871.0
381.0802473283404,26654.0,21160.0
383.7047242291868,28626.0,22568.0
386.32559895568664,30966.0,24275.0
388.94283824984,34120.0,26541.0
391.55640895285205,36242.0,27831.0
394.1662780070534,37401.0,28130.0
396.77241245781926,38041.0,28022.0
399.3747794554895,37602.0,27261.0
401.9733462572885,37902.0,26808.0
404.5680802292445,38485.0,26510.0
407.15894884811013,38677.0,25796.0
409.7459197032812,38049.0,25350.0
412.3289604987174,38064.0,24646.0
414.90803905486143,39164.0,25115.0
417.483123310559,41486.0,26286.0
420.0541813249786,44297.0,28160.0
422.6211812795313,46898.0,29923.0
425.18409147979037,47959.0,30802.0
427.7428803574113,46666.0,30185.0
430.29751647205114,44827.0,29626.0
432.84796851328895,43569.0,29422.0
435.3942053025449,43642.0,29955.0
437.93619579499995,44874.0,32017.0
440.47390908151687,47075.0,34061.0
443.0073143905581,49133.0,35983.0
445.53638109010745,51371.0,37814.0
448.0610786895881,52348.0,39250.0
450.5813768417837,53045.0,40227.0
453.0972453447577,52889.0,40051.0
455.6086541437726,53426.0,40685.0
458.11557333321065,54643.0,41693.0
460.61797315849293,54274.0,41622.0
463.11582401799933,53805.0,41142.0
465.60909646498845,52600.0,39992.0
468.097761209517,48919.0,37247.0
470.58178912036,46882.0,36082.0
473.0611512269304,45234.0,34597.0
475.5358187211986,44637.0,34135.0
478.0057629596127,46325.0,35044.0
480.47095546501765,49695.0,37718.0
482.93136792857547,53923.0,41107.0
485.3869722116853,56279.0,42409.0
487.8377403479021,56615.0,43022.0
490.2836445448576,52221.0,39242.0
492.7246571861793,45635.0,34315.0
495.16075083341053,39796.0,29968.0
497.59189822793036,34873.0,26072.0
500.01807229287306,30990.0,23083.0
502.4392461350479,28862.0,21824.0
504.8553930468589,27837.0,20985.0
507.26648650822557,26872.0,20234.0
509.67250018850063,26852.0,20036.0
512.0734079483916,27201.0,20356.0
514.4691838418801,28168.0,21018.0
516.8598021181409,29208.0,21636.0
519.2452372234626,30285.0,22410.0
521.6254638031673,32157.0,23447.0
524.0004567035296,34136.0,25004.0
526.3701909736968,36893.0,26510.0
528.7346418676095,38731.0,27765.0
531.0937848459198,39082.0,27985.0
533.4475955779122,38407.0,27154.0
535.7960499434234,35593.0,25056.0
538.139124034761,33098.0,23564.0
540.4767941586247,31949.0,22381.0
542.8090368380244,30597.0,21107.0
545.1358288142023,28928.0,20109.0
547.4571470485503,26818.0,18660.0
549.7729687245302,24330.0,16653.0
552.0832712495957,22397.0,15412.0
554.3880322571092,21273.0,14611.0
556.6872296082634,20161.0,14141.0
558.980841394,19855.0,13554.0
561.2688459369306,19645.0,13441.0
563.5512217932556,19649.0,13369.0
565.8279477546843,19768.0,13401.0
568.0990028503542,20206.0,13550.0
570.3643663487518,20045.0,13643.0
572.6240177596313,20110.0,13415.0
574.8779368359349,19668.0,12976.0
577.1261035757126,19114.0,12716.0
579.3684982240416,18513.0,12205.0
581.6051012749463,17718.0,11787.0
