Wavelength (nm),Reference 1,Scan_ID 1
309.988388769788,1871.0,1871.0
312.49060055497654,3276.0,3276.0
314.99588485073326,4563.0,4563.0
317.5041081008019,4849.0,4849.0
320.01513769750136,3964.0,3964.0
322.5288419817266,2543.0,2543.0
325.04509024294754,1771.0,1771.0
327.56375271921024,1359.0,1359.0
330.0847005971361,1103.0,1103.0
332.607806011922,1170.0,1170.0
335.13294204734046,1244.0,1244.0
337.6599827357397,1253.0,1253.0
340.1888030580433,1229.0,1229.0
342.71927894375057,1126.0,1126.0
345.25128727093636,1159.0,1159.0
347.78470586625104,1172.0,1172.0
350.3194135049206,1091.0,1091.0
352.85528991074654,1117.0,1117.0
355.3922157561061,1178.0,1178.0
357.93007266195195,1664.0,1664.0
360.46874319781233,3444.0,3444.0
363.008110881791,5728.0,5728.0
365.5480601805675,7292.0,7292.0
368.0884765093968,6983.0,6983.0
370.6292462321094,4743.0,4743.0
373.1702566611114,2855.0,2855.0
375.7113960573846,2029.0,2029.0
378.2525536304863,1736.0,1736.0
380.79361953854925,1748.0,1748.0
383.334484888282,1831.0,1831.0
385.87504173496836,1917.0,1917.0
388.4151830824681,1911.0,1911.0
390.9548028832163,1938.0,1938.0
393.49379603822354,2096.0,2096.0
396.03205839707636,2793.0,2793.0
398.56948675793643,5159.0,5159.0
401.1059788675412,8036.0,8036.0
403.6414334212038,9682.0,9682.0
406.1757500628126,9261.0,9261.0
408.708829384832,6417.0,6417.0
411.2405729283015,3610.0,3610.0
413.77088318283654,2406.0,2406.0
416.29966358662796,1924.0,1924.0
418.82681852644225,1731.0,1731.0
421.35225333762133,1709.0,1709.0
423.87587430408286,1810.0,1810.0
426.39758865831993,3298.0,3298.0
428.91730458140137,7633.0,7633.0
431.4349312029715,12408.0,12408.0
433.95037860125,15013.0,15013.0
436.4635578030326,14405.0,14405.0
438.97438078369004,9504.0,9504.0
441.4827604671691,4521.0,4521.0
443.98861072599203,2421.0,2421.0
446.4918463812564,1635.0,1635.0
448.99238320263555,1359.0,1359.0
451.4901379083785,1242.0,1242.0
453.98502816530953,1245.0,1245.0
456.47697258882886,1195.0,1195.0
458.965890742912,1183.0,1183.0
461.4517031401101,1185.0,1185.0
463.93433124155,1101.0,1101.0
466.4136974569339,1118.0,1118.0
468.8897251445399,1154.0,1154.0
471.36233861122133,1191.0,1191.0
473.8314631124073,1238.0,1238.0
476.29702485210237,1139.0,1139.0
478.75895098288674,1102.0,1102.0
481.21716960591607,1170.0,1170.0
483.671609770922,1188.0,1188.0
486.12220147621116,1196.0,1196.0
488.5688756686662,1166.0,1166.0
491.011564243745,1107.0,1107.0
493.4502000454813,1146.0,1146.0
495.88471686648444,1131.0,1131.0
498.31504944793886,1126.0,1126.0
500.7411334796052,1155.0,1155.0
503.1629055998193,1061.0,1061.0
505.5803033954924,1086.0,1086.0
507.993265402112,1152.0,1152.0
510.40173110374053,1108.0,1108.0
512.805640933016,1139.0,1139.0
515.2049362711525,1141.0,1141.0
517.5995594479392,1082.0,1082.0
519.9894537417414,1099.0,1099.0
522.374563379499,1077.0,1077.0
524.7548335367286,1137.0,1137.0
527.1302103375214,1226.0,1226.0
529.5006408545449,1294.0,1294.0
531.866073109042,1503.0,1503.0
534.2264560708307,2079.0,2079.0
536.5817396583053,4558.0,4558.0
538.9318747384351,8665.0,8665.0
541.2768131267652,11897.0,11897.0
543.6165075874163,13509.0,13509.0
545.9509118330848,13296.0,13296.0
548.2799805250421,10450.0,10450.0
550.6036692731358,6124.0,6124.0
552.9219346357892,3021.0,3021.0
555.23473412,1836.0,1836.0
557.542026181343,1416.0,1416.0
559.8437702239676,1162.0,1162.0
562.1399266005989,1211.0,1211.0
564.4304566125383,1270.0,1270.0
566.7153225096613,1407.0,1407.0
568.9944874904206,2212.0,2212.0
571.2679157018433,3380.0,3380.0
573.5355722395329,4273.0,4273.0
575.7974231476675,4665.0,4665.0
578.0534354190021,4532.0,4532.0
580.3035769948657,3803.0,3803.0
582.5478167651643,2644.0,2644.0
584.7861245683787,1718.0,1718.0
587.0184711915653,1306.0,1306.0
589.2448283703563,1082.0,1082.0
591.4651687889595,1019.0,1019.0
593.679466080158,1024.0,1024.0
595.8876948253107,983.0,983.0
598.089830554352,1083.0,1083.0
600.285849745792,1086.0,1086.0
602.475729826716,1011.0,1011.0
604.6594491727852,1046.0,1046.0
606.8369871082366,1071.0,1071.0
609.0083239058818,1112.0,1112.0
611.1734407871095,1130.0,1130.0
613.3323199218822,990.0,990.0
615.4849444287397,1008.0,1008.0
617.631298374796,1140.0,1140.0
619.7713667757417,1111.0,1111.0
621.905135595842,1182.0,1182.0
624.0325917479386,1207.0,1207.0
626.1537230934479,1171.0,1171.0
628.268518442363,1190.0,1190.0
630.3769675532511,1058.0,1058.0
632.4790611332563,1016.0,1016.0
634.5747908380977,1010.0,1010.0
636.6641492720698,983.0,983.0
638.7471299880432,1047.0,1047.0
640.8237274874633,1012.0,1012.0
642.8939372203521,994.0,994.0
644.957755585306,1014.0,1014.0
647.015179929498,1011.0,1011.0
649.0662085486762,1078.0,1078.0
651.1108406871642,1082.0,1082.0
653.1490765378614,1009.0,1009.0
655.1809172422426,1022.0,1022.0
657.2063648903583,981.0,981.0
659.2254225208343,998.0,998.0
661.2380941208725,1103.0,1103.0
663.24438462625,1082.0,1082.0
665.2442999213193,1045.0,1045.0
667.2378468390092,1063.0,1063.0
669.2250331608228,1078.0,1078.0
671.2058676168405,1079.0,1079.0
673.1803598857164,1070.0,1070.0
675.1485205946817,1123.0,1123.0
677.1103613195423,1120.0,1120.0
679.0658945846801,1051.0,1051.0
681.0151338630524,1109.0,1109.0
682.9580935761919,1078.0,1078.0
684.8947890942073,976.0,976.0
686.8252367357827,1021.0,1021.0
688.7494537681773,983.0,983.0
690.6674584072267,904.0,904.0
692.5792698173414,958.0,958.0
694.4849081115078,932.0,932.0
696.3843943512877,984.0,984.0
698.2777505468189,1036.0,1036.0
700.1649996568141,1032.0,1032.0
702.046165588562,1116.0,1116.0
703.9212731979269,1064.0,1064.0
705.7903482893483,1067.0,1067.0
707.6534176158419,1063.0,1063.0
709.5105088789983,955.0,955.0
711.3616507289845,977.0,977.0
713.2068727645418,1015.0,1015.0
715.0462055329883,986.0,986.0
716.879680530217,1034.0,1034.0
718.7073302006968,1012.0,1012.0
720.529187937472,971.0,971.0
722.3452880821625,994.0,994.0
724.1556659249638,957.0,957.0
725.960357704647,1054.0,1054.0
727.7594006085588,1058.0,1058.0
729.5528327726214,1011.0,1011.0
731.3406932813323,1048.0,1048.0
733.1230221677653,1074.0,1074.0
734.899860413569,1111.0,1111.0
736.6712499489677,1094.0,1094.0
738.437233652762,1035.0,1035.0
740.1978553523273,1120.0,1120.0
741.9531598236148,1157.0,1157.0
743.7031927911512,1076.0,1076.0
745.4480009280393,1137.0,1137.0
747.1876318559563,1080.0,1080.0
748.9221341451564,1082.0,1082.0
750.6515573144683,1139.0,1139.0
752.3759518312968,1087.0,1087.0
754.0953691116221,1158.0,1158.0
755.8098615200001,1157.0,1157.0
757.5194823695617,1091.0,1091.0
759.2242859220146,1162.0,1162.0
760.9243273876407,1076.0,1076.0
762.6196629252984,1029.0,1029.0
764.3103496424214,1092.0,1092.0
765.9964455950187,1060.0,1060.0
767.6780097876753,1136.0,1136.0
769.3551021735514,1169.0,1169.0
771.0277836543833,1097.0,1097.0
772.6961160804819,1177.0,1177.0
774.360162250735,1136.0,1136.0
776.0199859126051,1036.0,1036.0
777.67565176213,1064.0,1064.0
779.327225443924,984.0,984.0
780.9747735511764,1032.0,1032.0
782.618363625652,1101.0,1101.0
784.2580641576915,1108.0,1108.0
785.893944586211,1146.0,1146.0
787.526075298702,1086.0,1086.0
789.1545276312321,1081.0,1081.0
790.7793738684437,1096.0,1096.0
792.4006872435555,999.0,999.0
794.0185419383613,1017.0,1017.0
795.633013083231,1061.0,1061.0
797.2441767571092,1010.0,1010.0
798.8521099875171,1083.0,1083.0
800.4568907505507,1084.0,1084.0
802.0585979708818,1056.0,1056.0
803.657311521758,1112.0,1112.0
805.2531122250018,1096.0,1096.0
806.8460818510125,1171.0,1171.0
808.4363031187638,1196.0,1196.0
810.0238596958054,1134.0,1134.0
811.6088361982627,1168.0,1168.0
813.1913181908365,1099.0,1099.0
814.771392186803,1063.0,1063.0
816.3491456480145,1094.0,1094.0
817.9246669848986,1005.0,1005.0
819.4980455564581,1047.0,1047.0
821.0693716702722,1103.0,1103.0
822.6387365824946,1046.0,1046.0
824.2062324978556,1042.0,1042.0
825.7719525696604,915.0,915.0
827.3359908997902,912.0,912.0
828.8984425387014,1054.0,1054.0
830.4594034854263,1075.0,1075.0
832.0189706875724,1102.0,1102.0
833.5772420413232,1039.0,1039.0
835.1343163914376,1004.0,1004.0
836.69029353125,1114.0,1114.0
838.2452742026702,1180.0,1180.0
839.799360096184,1136.0,1136.0
841.3526538508528,1121.0,1121.0
842.9052590543126,1097.0,1097.0
844.4572802427763,1139.0,1139.0
846.0088229010316,1200.0,1200.0
847.5599934624422,1212.0,1212.0
849.1108993089466,1267.0,1267.0
850.6616487710598,1201.0,1201.0
852.2123511278719,1168.0,1168.0
853.7631166070488,1171.0,1171.0
855.3140563848314,1060.0,1060.0
856.8652825860368,1055.0,1055.0
858.4169082840574,1053.0,1053.0
859.9690475008615,1004.0,1004.0
861.5218152069924,1109.0,1109.0
863.0753273215691,1120.0,1120.0
864.6297007122869,1062.0,1062.0
866.185053195416,1131.0,1131.0
867.7415035358018,1132.0,1132.0
869.2991714468665,1139.0,1139.0
870.8581775906066,1167.0,1167.0
872.418643577595,1139.0,1139.0
873.9806919669795,1174.0,1174.0
875.5444462664843,1150.0,1150.0
877.1100309324086,1126.0,1126.0
878.6775713696272,1113.0,1113.0
880.2471939315908,1063.0,1063.0
881.819025920325,1107.0,1107.0
883.393195586432,1091.0,1091.0
884.9698321290887,1066.0,1066.0
886.5490656960478,1116.0,1116.0
888.1310273836377,1056.0,1056.0
889.7158492367626,1058.0,1058.0
891.3036642489016,1122.0,1122.0
892.8946063621097,1086.0,1086.0
894.4888104670179,1047.0,1047.0
896.0864124028321,1226.0,1226.0
