Part,Description,Vendor,RQ,PN,MOQ,MOQ Cost,link,Inventory,type
12.6V Chargers (2A),Power and charge the ESS system,Amazon*,1,,1.00,$12.99,https://www.amazon.com/TalentCell-Lithium-Battery-Charger-Rechargeable/dp/B07P8DMSZ8/ref=sr_1_2?dchild=1&keywords=talentcell+12.6V+ac%2Fdc+2a&qid=1613490641&sr=8-2,2,Base ESS (Electronics)
12V DC Input Jack,Power for the system,Digikey,1,839-1291-ND,1.00,$2.52,https://www.digikey.com/en/products/detail/tensility-international-corp/54-00063/6206244,6,Base ESS (Connectors)
18650 batteries,3.7 V batteries used to power system,Digikey,3,,1.00,$5.95,https://www.digikey.com/en/products/detail/sparkfun-electronics/PRT-12895/5271298,9,Base ESS (Electronics)
3D printer material,Create enclosure for ESS system,Amazon*,1,,1.00,$22.99,https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Accuracy/dp/B00J0ECR5I?ref_=ast_sto_dp,1,Base ESS (Electronics)
4-40 Flathead 1/2,Fastners,McMaster,7,92210A110,100.00,$3.85,www.mcmaster.com,100,Screws
4-40 Hex 1/4in,Fastners,McMaster,4,92196A106,100.00,$3.92,www.mcmaster.com,100,Screws
4-40 Hex 5/16in,Fastners,McMaster,18,92185A107,50.00,$4.83,www.mcmaster.com,100,Screws
6-32 Low Profile 3/8,Fastners,McMaster,8,93615A215,25.00,$7.85,www.mcmaster.com,100,Screws
7 inch Screen,Connects to raspberry pi for viewing desktop,Amazon*,1,,1.00,$55.99,https://www.amazon.com/Kuman-Capacitive-Display-Raspberry-SC7B/dp/B01F3801A2,2,Base ESS (Electronics)
ADS8321 (16 bit ADC),Read spectrometer values,Digikey,1,,1.00,$12.08,https://www.digikey.com/en/products/detail/texas-instruments/ADS8321E-250/295542,3,Base ESS (Electronics)
Arduino Nano,"Microcontroller used for controlling spectrometer, flash lamp,
battery read, module read etc.",Arduino,1,,1.00,$20.70,https://store.arduino.cc/usa/arduino-nano,3,Base ESS (Electronics)
Bluetooth keyboard,Bluetooth keyboard to allow for typing and mousepad,Amazon*,1,,1.00,$35.00,https://www.amazon.com/Bluetooth-Jelly-Comb-Rechargable-Tablet-Dark/dp/B07P2HW12P/ref=sr_1_4?crid=1HS92W9CUQPQY&dchild=1&keywords=bluetooth+keyboard+with+touchpad&qid=1602699122&sprefix=bluettoth+keyboard+w%2Caps%2C142&sr=8-4,2,Base ESS (Electronics)
Buck converter,Steps down input voltage,Amazon*,1,,5.00,$8.99,https://www.amazon.com/gp/product/B0758ZTS61/ref=ppx_yo_dt_b_asin_title_o02_s00?ie=UTF8&psc=1,4,Base ESS (Electronics)
Buzzer,Allow for audio feedback to user on the main PCB,Digikey,1,CMI-1295IC-0585T,1.00,$1.26,https://www.digikey.com/en/products/detail/cui-devices/cmi-1295ic-0585t/11674150,1,Base ESS (Electronics)
C12880 Breakout board V2,Spectrometer eval board,JLC,1,,1.00,$20.00,www.jlcpcb.com,3,Base ESS (Electronics)
C12880MA-20,Spectrometer with SMA connector,Hamamatsu,1,C12880ma-10,1.00,$250.00,https://www.hamamatsu.com/us/en/product/type/L13651/index.html,1,Base ESS (Electronics)
Fan,Cooling system,Amazon*,1,,5.00,$9.99,https://www.amazon.com/Brushless-Raspberry-Connector-Separating-Interface/dp/B07TG7G7M9/ref=sr_1_7?dchild=1&keywords=raspberry+pi+fan+5+pack+easycargo&qid=1602612069&s=electronics&sr=1-7,7,Base ESS (Electronics)
6 pin Male JST,Connector for Flash Lamp,Digikey,1,,1.00,$0.14,https://www.digikey.com/en/products/detail/jst-sales-america-inc/XHP-6/1651016,11,JST Connectors
6 Pin Female JST,,Digikey,1,,1.00,$0.27,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B6B-XH-A-LF-SN/1000381,,
8 Pin Male JST,Connector for spec,Digikey,2,,1.00,$0.16,https://www.digikey.com/en/products/detail/jst-sales-america-inc/XHP-8/923773?s=N4IgTCBcDaIBoAkAKBaAHCAugXyA,19,JST Connectors
Flash lamp Hammamatsu,Light source for device,Hamamatsu,1,L13651-SMA,1.00,$650.00,https://www.hamamatsu.com/jp/en/product/light-and-radiation-sources/lamp-module_unit/xenon-flash-lamp-module/2w/index.html,2,Base ESS (Electronics)
Heat set inserts,Allows for screws to hold together different device components,Amazon*,1,,1.00,$10.95,https://www.amazon.com/Threaded-Heat-Set-Inserts-connecting-injection/dp/B07BH5X252/ref=sr_1_4?crid=1LEW7WMI0VTN2&dchild=1&keywords=4-40+heat+set+insert&qid=1602701039&sprefix=4-40+heat+%2Cindustrial%2C139&sr=8-4,100,Screws
Hex Standoffs 2in,Fastners,McMaster,4,91075A224,1.00,$4.90,www.mcmaster.com,4,Screws
Hex Standoffs 3/4in,Fastners,McMaster,2,91115A519,1.00,$2.25,www.mcmaster.com,4,Screws
8 Pin Female JST,Connector for Spec,Digikey,2,,,$0.36,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B8B-XH-A-LF-SN/1651049,2,JST Connectors
Jumper 6in,"Precrimped jumpers, JST",Digikey,7,,1.00,$0.76,https://www.digikey.com/en/products/detail/jst-sales-america-inc/ASXHSXH22K152/6684931,50,JST Connectors
Li-ion BMS,To manage charging and discharging of 18650 cells,Amazon*,1,,1.00,$6.29,https://www.amazon.com/gp/product/B075D96HVV/ref=ppx_yo_dt_b_asin_title_o05_s00?ie=UTF8&psc=1,2,Base ESS (Electronics)
M3 Flathead 10mm,Fastners,McMaster,2,92125A130,100.00,$5.81,www.mcmaster.com,100,Screws
Main PCB,"Connects arduino to Pi, buck converter, adc, pot etc",JLC PCB,1,,5.00,$23.16,jlcpcb.com,1,Base ESS (Electronics)
