wl,S001,S002
299.873718,6134.000000,6134.000000
300.328207,6412.000000,6412.000000
300.782683,6674.000000,6674.000000
301.237147,6356.571429,6356.571429
301.691598,6467.000000,6467.000000
302.146037,6478.714286,6478.714286
302.600464,6583.571429,6583.571429
303.054878,6643.428571,6643.428571
303.509280,6657.000000,6657.000000
303.963669,6851.571429,6851.571429
304.418046,6955.428571,6955.428571
304.872411,7089.571429,7089.571429
305.326763,7221.000000,7221.000000
305.781102,7238.142857,7238.142857
306.235430,7237.428571,7237.428571
306.689744,7325.000000,7325.000000
307.144047,7469.857143,7469.857143
307.598336,7568.428571,7568.428571
308.052614,7590.428571,7590.428571
308.506878,7627.571429,7627.571429
308.961131,7694.714286,7694.714286
309.415370,8015.000000,8015.000000
309.869598,8165.142857,8165.142857
310.323812,8211.857143,8211.857143
310.778014,8343.571429,8343.571429
311.232204,8507.714286,8507.714286
311.686381,8693.000000,8693.000000
312.140545,8824.857143,8824.857143
312.594697,8739.857143,8739.857143
313.048837,8885.000000,8885.000000
313.502963,8966.000000,8966.000000
313.957077,8974.285714,8974.285714
314.411179,8910.857143,8910.857143
314.865268,8868.857143,8868.857143
315.319344,8793.714286,8793.714286
315.773407,8766.428571,8766.428571
316.227458,8735.857143,8735.857143
316.681497,8622.571429,8622.571429
317.135522,8670.571429,8670.571429
317.589535,8597.571429,8597.571429
318.043535,8595.714286,8595.714286
318.497523,8618.857143,8618.857143
318.951498,8674.571429,8674.571429
319.405460,8551.428571,8551.428571
319.859409,8658.428571,8658.428571
320.313346,8648.000000,8648.000000
320.767270,8805.428571,8805.428571
321.221181,8958.000000,8958.000000
321.675079,9239.714286,9239.714286
322.128965,9535.571429,9535.571429
322.582838,9847.285714,9847.285714
323.036698,10101.142857,10101.142857
323.490545,10262.571429,10262.571429
323.944380,10337.285714,10337.285714
324.398202,10483.857143,10483.857143
324.852010,10444.285714,10444.285714
325.305806,10332.571429,10332.571429
325.759590,10264.428571,10264.428571
326.213360,10221.000000,10221.000000
326.667118,10208.000000,10208.000000
327.120862,10145.571429,10145.571429
327.574594,9943.714286,9943.714286
328.028313,9801.714286,9801.714286
328.482019,9774.285714,9774.285714
328.935712,9899.000000,9899.000000
329.389392,9734.285714,9734.285714
329.843060,9778.714286,9778.714286
330.296714,9878.571429,9878.571429
330.750355,10017.714286,10017.714286
331.203984,10226.142857,10226.142857
331.657599,10304.285714,10304.285714
332.111202,10252.714286,10252.714286
332.564792,10461.285714,10461.285714
333.018368,10590.000000,10590.000000
333.471932,10800.142857,10800.142857
333.925483,10780.285714,10780.285714
334.379020,10823.285714,10823.285714
334.832545,10823.142857,10823.142857
335.286057,10832.714286,10832.714286
335.739555,10705.142857,10705.142857
336.193041,10609.571429,10609.571429
336.646513,10520.000000,10520.000000
337.099973,10629.428571,10629.428571
337.553419,10744.714286,10744.714286
338.006853,10836.000000,10836.000000
338.460273,11028.142857,11028.142857
338.913680,11284.142857,11284.142857
339.367074,11390.000000,11390.000000
339.820455,11539.857143,11539.857143
340.273823,11575.571429,11575.571429
340.727177,11658.857143,11658.857143
341.180519,11670.285714,11670.285714
341.633847,11891.142857,11891.142857
342.087163,12118.714286,12118.714286
342.540465,12342.000000,12342.000000
342.993754,12442.000000,12442.000000
343.447030,12719.142857,12719.142857
343.900292,12785.000000,12785.000000
344.353541,13152.428571,13152.428571
344.806778,13141.285714,13141.285714
345.260001,13039.285714,13039.285714
345.713210,13214.142857,13214.142857
346.166407,13229.857143,13229.857143
346.619590,13261.000000,13261.000000
347.072760,13166.571429,13166.571429
347.525917,13060.285714,13060.285714
347.979060,13002.000000,13002.000000
348.432191,13184.428571,13184.428571
348.885307,13220.000000,13220.000000
349.338411,13449.142857,13449.142857
349.791501,13642.857143,13642.857143
350.244578,14084.857143,14084.857143
350.697642,14305.714286,14305.714286
351.150693,14718.714286,14718.714286
351.603730,15019.285714,15019.285714
352.056753,15413.285714,15413.285714
352.509764,15774.571429,15774.571429
352.962761,16199.428571,16199.428571
