wl,S001,R001,S002,S003
299.873718,3176.000000,3176.000000,3176.000000,3176.000000
300.328207,3280.000000,3280.000000,3280.000000,3280.000000
300.782683,3483.000000,3483.000000,3483.000000,3483.000000
301.237147,3436.571429,3436.571429,3436.571429,3436.571429
301.691598,3450.428571,3450.428571,3450.428571,3450.428571
302.146037,3419.285714,3419.285714,3419.285714,3419.285714
302.600464,3336.000000,3336.000000,3336.000000,3336.000000
303.054878,3241.142857,3241.142857,3241.142857,3241.142857
303.509280,3153.571429,3153.571429,3153.571429,3153.571429
303.963669,3103.000000,3103.000000,3103.000000,3103.000000
304.418046,3109.428571,3109.428571,3109.428571,3109.428571
304.872411,3200.142857,3200.142857,3200.142857,3200.142857
305.326763,3402.142857,3402.142857,3402.142857,3402.142857
305.781102,3731.428571,3731.428571,3731.428571,3731.428571
306.235430,4191.857143,4191.857143,4191.857143,4191.857143
306.689744,4816.714286,4816.714286,4816.714286,4816.714286
307.144047,5569.000000,5569.000000,5569.000000,5569.000000
307.598336,6469.714286,6469.714286,6469.714286,6469.714286
308.052614,7516.857143,7516.857143,7516.857143,7516.857143
308.506878,8750.571429,8750.571429,8750.571429,8750.571429
308.961131,10264.714286,10264.714286,10264.714286,10264.714286
309.415370,12090.000000,12090.000000,12090.000000,12090.000000
309.869598,14224.428571,14224.428571,14224.428571,14224.428571
310.323812,16566.285714,16566.285714,16566.285714,16566.285714
310.778014,18848.285714,18848.285714,18848.285714,18848.285714
311.232204,20887.428571,20887.428571,20887.428571,20887.428571
311.686381,22363.142857,22363.142857,22363.142857,22363.142857
312.140545,22940.714286,22940.714286,22940.714286,22940.714286
312.594697,22417.285714,22417.285714,22417.285714,22417.285714
313.048837,20700.857143,20700.857143,20700.857143,20700.857143
313.502963,18035.571429,18035.571429,18035.571429,18035.571429
313.957077,14897.428571,14897.428571,14897.428571,14897.428571
314.411179,11660.428571,11660.428571,11660.428571,11660.428571
314.865268,8678.428571,8678.428571,8678.428571,8678.428571
315.319344,6213.285714,6213.285714,6213.285714,6213.285714
315.773407,4401.285714,4401.285714,4401.285714,4401.285714
316.227458,3293.285714,3293.285714,3293.285714,3293.285714
316.681497,2768.714286,2768.714286,2768.714286,2768.714286
317.135522,2584.285714,2584.285714,2584.285714,2584.285714
317.589535,2532.571429,2532.571429,2532.571429,2532.571429
318.043535,2513.714286,2513.714286,2513.714286,2513.714286
318.497523,2492.285714,2492.285714,2492.285714,2492.285714
318.951498,2476.571429,2476.571429,2476.571429,2476.571429
319.405460,2468.714286,2468.714286,2468.714286,2468.714286
319.859409,2462.285714,2462.285714,2462.285714,2462.285714
320.313346,2457.142857,2457.142857,2457.142857,2457.142857
320.767270,2452.714286,2452.714286,2452.714286,2452.714286
321.221181,2455.142857,2455.142857,2455.142857,2455.142857
321.675079,2457.000000,2457.000000,2457.000000,2457.000000
322.128965,2459.714286,2459.714286,2459.714286,2459.714286
322.582838,2457.142857,2457.142857,2457.142857,2457.142857
323.036698,2454.428571,2454.428571,2454.428571,2454.428571
323.490545,2448.428571,2448.428571,2448.428571,2448.428571
323.944380,2446.857143,2446.857143,2446.857143,2446.857143
324.398202,2444.000000,2444.000000,2444.000000,2444.000000
324.852010,2439.285714,2439.285714,2439.285714,2439.285714
325.305806,2430.857143,2430.857143,2430.857143,2430.857143
325.759590,2428.714286,2428.714286,2428.714286,2428.714286
326.213360,2429.000000,2429.000000,2429.000000,2429.000000
326.667118,2430.714286,2430.714286,2430.714286,2430.714286
327.120862,2423.428571,2423.428571,2423.428571,2423.428571
327.574594,2431.142857,2431.142857,2431.142857,2431.142857
328.028313,2448.857143,2448.857143,2448.857143,2448.857143
328.482019,2477.857143,2477.857143,2477.857143,2477.857143
328.935712,2510.428571,2510.428571,2510.428571,2510.428571
329.389392,2567.428571,2567.428571,2567.428571,2567.428571
329.843060,2632.714286,2632.714286,2632.714286,2632.714286
330.296714,2734.142857,2734.142857,2734.142857,2734.142857
330.750355,2850.142857,2850.142857,2850.142857,2850.142857
331.203984,2993.285714,2993.285714,2993.285714,2993.285714
331.657599,3148.571429,3148.571429,3148.571429,3148.571429
332.111202,3292.285714,3292.285714,3292.285714,3292.285714
332.564792,3411.285714,3411.285714,3411.285714,3411.285714
333.018368,3494.142857,3494.142857,3494.142857,3494.142857
333.471932,3523.714286,3523.714286,3523.714286,3523.714286
333.925483,3492.428571,3492.428571,3492.428571,3492.428571
334.379020,3382.857143,3382.857143,3382.857143,3382.857143
334.832545,3230.142857,3230.142857,3230.142857,3230.142857
335.286057,3062.714286,3062.714286,3062.714286,3062.714286
335.739555,2892.571429,2892.571429,2892.571429,2892.571429
336.193041,2748.428571,2748.428571,2748.428571,2748.428571
336.646513,2627.142857,2627.142857,2627.142857,2627.142857
337.099973,2534.857143,2534.857143,2534.857143,2534.857143
337.553419,2490.285714,2490.285714,2490.285714,2490.285714
338.006853,2473.714286,2473.714286,2473.714286,2473.714286
338.460273,2479.714286,2479.714286,2479.714286,2479.714286
338.913680,2472.571429,2472.571429,2472.571429,2472.571429
339.367074,2474.142857,2474.142857,2474.142857,2474.142857
339.820455,2477.571429,2477.571429,2477.571429,2477.571429
340.273823,2487.000000,2487.000000,2487.000000,2487.000000
340.727177,2484.571429,2484.571429,2484.571429,2484.571429
341.180519,2471.285714,2471.285714,2471.285714,2471.285714
341.633847,2454.000000,2454.000000,2454.000000,2454.000000
342.087163,2451.428571,2451.428571,2451.428571,2451.428571
342.540465,2439.857143,2439.857143,2439.857143,2439.857143
342.993754,2425.428571,2425.428571,2425.428571,2425.428571
343.447030,2411.285714,2411.285714,2411.285714,2411.285714
343.900292,2407.285714,2407.285714,2407.285714,2407.285714
344.353541,2407.428571,2407.428571,2407.428571,2407.428571
344.806778,2407.142857,2407.142857,2407.142857,2407.142857
345.260001,2404.428571,2404.428571,2404.428571,2404.428571
345.713210,2408.142857,2408.142857,2408.142857,2408.142857
346.166407,2407.000000,2407.000000,2407.000000,2407.000000
346.619590,2410.857143,2410.857143,2410.857143,2410.857143
347.072760,2411.000000,2411.000000,2411.000000,2411.000000
347.525917,2416.285714,2416.285714,2416.285714,2416.285714
347.979060,2411.285714,2411.285714,2411.285714,2411.285714
348.432191,2417.000000,2417.000000,2417.000000,2417.000000
348.885307,2420.714286,2420.714286,2420.714286,2420.714286
349.338411,2436.857143,2436.857143,2436.857143,2436.857143
349.791501,2441.714286,2441.714286,2441.714286,2441.714286
350.244578,2456.571429,2456.571429,2456.571429,2456.571429
350.697642,2466.857143,2466.857143,2466.857143,2466.857143
351.150693,2487.571429,2487.571429,2487.571429,2487.571429
351.603730,2508.000000,2508.000000,2508.000000,2508.000000
352.056753,2521.857143,2521.857143,2521.857143,2521.857143
352.509764,2532.428571,2532.428571,2532.428571,2532.428571
352.962761,2557.285714,2557.285714,2557.285714,2557.285714
353.415744,2566.857143,2566.857143,2566.857143,2566.857143
353.868714,2580.428571,2580.428571,2580.428571,2580.428571
354.321671,2597.000000,2597.000000,2597.000000,2597.000000
354.774615,2607.428571,2607.428571,2607.428571,2607.428571
355.227545,2622.428571,2622.428571,2622.428571,2622.428571
355.680461,2638.571429,2638.571429,2638.571429,2638.571429
356.133364,2644.571429,2644.571429,2644.571429,2644.571429
356.586254,2659.142857,2659.142857,2659.142857,2659.142857
357.039130,2684.428571,2684.428571,2684.428571,2684.428571
357.491993,2723.428571,2723.428571,2723.428571,2723.428571
357.944843,2784.000000,2784.000000,2784.000000,2784.000000
358.397679,2885.000000,2885.000000,2885.000000,2885.000000
358.850501,3031.428571,3031.428571,3031.428571,3031.428571
359.303310,3274.000000,3274.000000,3274.000000,3274.000000
359.756105,3647.428571,3647.428571,3647.428571,3647.428571
360.208887,4200.285714,4200.285714,4200.285714,4200.285714
360.661656,5012.428571,5012.428571,5012.428571,5012.428571
361.114411,6223.428571,6223.428571,6223.428571,6223.428571
361.567152,7960.142857,7960.142857,7960.142857,7960.142857
362.019880,10378.571429,10378.571429,10378.571429,10378.571429
362.472594,13527.857143,13527.857143,13527.857143,13527.857143
362.925295,17294.000000,17294.000000,17294.000000,17294.000000
363.377982,21316.000000,21316.000000,21316.000000,21316.000000
363.830656,25127.857143,25127.857143,25127.857143,25127.857143
364.283316,28303.000000,28303.000000,28303.000000,28303.000000
364.735962,30328.714286,30328.714286,30328.714286,30328.714286
365.188595,30870.142857,30870.142857,30870.142857,30870.142857
365.641214,29748.285714,29748.285714,29748.285714,29748.285714
366.093820,27169.571429,27169.571429,27169.571429,27169.571429
366.546412,23615.142857,23615.142857,23615.142857,23615.142857
366.998990,19662.000000,19662.000000,19662.000000,19662.000000
367.451555,15737.571429,15737.571429,15737.571429,15737.571429
367.904106,12299.571429,12299.571429,12299.571429,12299.571429
368.356643,9539.285714,9539.285714,9539.285714,9539.285714
368.809167,7574.428571,7574.428571,7574.428571,7574.428571
369.261677,6251.857143,6251.857143,6251.857143,6251.857143
369.714173,5423.428571,5423.428571,5423.428571,5423.428571
370.166656,4906.714286,4906.714286,4906.714286,4906.714286
370.619125,4552.000000,4552.000000,4552.000000,4552.000000
371.071580,4295.285714,4295.285714,4295.285714,4295.285714
371.524021,4118.571429,4118.571429,4118.571429,4118.571429
371.976449,3974.285714,3974.285714,3974.285714,3974.285714
372.428863,3898.857143,3898.857143,3898.857143,3898.857143
372.881263,3850.571429,3850.571429,3850.571429,3850.571429
373.333650,3828.142857,3828.142857,3828.142857,3828.142857
373.786023,3846.142857,3846.142857,3846.142857,3846.142857
374.238381,3866.857143,3866.857143,3866.857143,3866.857143
374.690727,3890.000000,3890.000000,3890.000000,3890.000000
375.143058,3918.714286,3918.714286,3918.714286,3918.714286
375.595376,3948.000000,3948.000000,3948.000000,3948.000000
376.047679,3984.428571,3984.428571,3984.428571,3984.428571
376.499969,4017.714286,4017.714286,4017.714286,4017.714286
376.952245,4041.000000,4041.000000,4041.000000,4041.000000
